# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=876692233
# chain_id=4
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=/home/kendal/Documents/phd/henrik/ddm_in_stan/fits/temp_chains/chain_data_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b_a.1,b_a.2,b_ndt.1,b_ndt.2,b_w.1,b_w.2,Intercept_sv,b_sv_Intercept
-8959.14,1,0.00390625,1,1,0,14053.6,0.208046,0.24216,0.103984,-0.836537,0.213514,-0.0324074,-2.20782,-0.0166418,0.0579872,-0.000830947,-2.30916,-2.30916
-8959.14,0,14.3855,0,1,1,8965.27,0.208046,0.24216,0.103984,-0.836537,0.213514,-0.0324074,-2.20782,-0.0166418,0.0579872,-0.000830947,-2.30916,-2.30916
-8959.14,0,2.43117,0,1,1,8967.16,0.208046,0.24216,0.103984,-0.836537,0.213514,-0.0324074,-2.20782,-0.0166418,0.0579872,-0.000830947,-2.30916,-2.30916
-8959.14,0,0.239791,0,1,1,8963.89,0.208046,0.24216,0.103984,-0.836537,0.213514,-0.0324074,-2.20782,-0.0166418,0.0579872,-0.000830947,-2.30916,-2.30916
-8959.14,0,0.0186273,0,1,1,8967.58,0.208046,0.24216,0.103984,-0.836537,0.213514,-0.0324074,-2.20782,-0.0166418,0.0579872,-0.000830947,-2.30916,-2.30916
-7221.45,1,0.00130482,3,7,0,8931.59,0.194752,0.234879,0.150165,-0.828678,0.360828,-0.089458,-2.1602,-0.0147612,0.0401999,-0.00773145,-2.3103,-2.3103
-6903.43,1,0.00189104,2,3,0,7221.64,0.183003,0.232929,0.173606,-0.823838,0.383948,-0.109462,-2.13879,-0.0188248,0.0243881,-0.0108129,-2.31525,-2.31525
-6259.55,1,0.00305706,2,3,0,6895.32,0.156003,0.229122,0.241532,-0.808616,0.422012,-0.158942,-2.08448,-0.0187016,0.00688268,-0.0202891,-2.30444,-2.30444
-5913.67,1,0.00530085,1,1,0,6263.19,0.130113,0.226571,0.293966,-0.807723,0.423642,-0.17113,-2.05628,-0.00940575,-0.00117326,-0.0289636,-2.30722,-2.30722
-4687.96,0.5,0.00961161,1,2,1,5884.32,0.0815829,0.215852,0.492013,-0.802174,0.468062,-0.228361,-1.93228,0.00205003,-0.0413955,-0.0367997,-2.32202,-2.32202
-3353.26,1,0.00368638,2,3,0,4429.64,0.068997,0.222893,0.702903,-0.787108,0.417854,-0.252003,-1.74106,0.0257256,-0.0804832,-0.0391287,-2.32893,-2.32893
-3353.26,3.61752e-95,0.0069961,1,1,0,3357.22,0.068997,0.222893,0.702903,-0.787108,0.417854,-0.252003,-1.74106,0.0257256,-0.0804832,-0.0391287,-2.32893,-2.32893
-3330.05,0.968078,0.000575723,3,7,0,3357.71,0.0674574,0.220502,0.707717,-0.788787,0.418905,-0.251985,-1.74078,0.0221006,-0.0815279,-0.0394153,-2.32986,-2.32986
-3112.39,1,0.00101816,3,7,0,3336.91,0.0583321,0.214187,0.772609,-0.780259,0.427735,-0.263047,-1.73814,0.00838843,-0.0908879,-0.0272842,-2.33762,-2.33762
-2831.63,0.878556,0.00199786,3,7,0,3119.11,0.0539221,0.216652,0.866722,-0.768446,0.421952,-0.275671,-1.73531,0.00720485,-0.0936281,-0.0393557,-2.33684,-2.33684
-2813.79,0.417586,0.00268904,2,3,0,2836.38,0.0516333,0.214943,0.87195,-0.769268,0.423525,-0.273372,-1.73373,0.0041991,-0.0916893,-0.0393877,-2.34156,-2.34156
-2786.7,0.94519,0.000877637,3,7,0,2817.88,0.0481366,0.215015,0.880745,-0.768467,0.428519,-0.273781,-1.73031,0.0072884,-0.0940531,-0.0399697,-2.3386,-2.3386
-2757.43,1,0.00146527,4,15,0,2789.07,0.0470857,0.214346,0.889643,-0.76377,0.431051,-0.274098,-1.73379,0.00576311,-0.0935505,-0.0394276,-2.3411,-2.3411
-2731.61,0.0638923,0.00287663,1,1,0,2762.2,0.0455388,0.212883,0.898876,-0.760475,0.432285,-0.271539,-1.72946,0.00623651,-0.0917917,-0.0407059,-2.34148,-2.34148
-2697.98,0.999682,0.000335953,4,15,0,2733.18,0.044383,0.213138,0.909492,-0.75938,0.433865,-0.27087,-1.73403,0.00334149,-0.0959893,-0.040513,-2.34333,-2.34333
253.729,0.999846,0.000663144,7,127,0,2703.16,-0.193649,0.145595,2.81869,-0.638972,0.688804,-0.368826,-1.74982,0.0213939,-0.0606186,-0.0746754,-2.38279,-2.38279
285.052,0.904755,0.00129759,5,31,0,-247.136,-0.213701,0.18819,2.87885,-0.576037,0.703815,-0.317266,-1.74744,0.0143302,-0.0141787,-0.0311687,-2.39675,-2.39675
320.21,0.917629,0.00190266,5,31,0,-279.065,-0.278285,0.149448,3.03452,-0.55945,0.726091,-0.327197,-1.75435,0.0225291,-0.00355653,-0.0500208,-2.44887,-2.44887
